,,,,,,,,,,,,,,,
# --- MATCH --- meta,field,value,,,,,,,,,,,,,
meta,id,M047,,,,,,,,,,,,,
meta,status,played,,,,,,,,,,,,,
meta,competition,UEFA European Championship,,,,,,,,,,,,,
meta,round,Semi-final,,,,,,,,,,,,,
meta,date,2021-07-07,,,,,,,,,,,,,
meta,kickoff,20:00,,,,,,,,,,,,,
meta,venue,Wembley Stadium,,,,,,,,,,,,,
meta,city,London,,,,,,,,,,,,,
meta,country,ENG,,,,,,,,,,,,,
meta,neutral,no,,,,,,,,,,,,,
meta,attendance,64950,,,,,,,,,,,,,
meta,score,2-1,,,,,,,,,,,,,
meta,aggregate,,,,,,,,,,,,,,
meta,decision,AET,,,,,,,,,,,,,
meta,referee,Danny Makkelie,,,,,,,,,,,,,
meta,referee_country,NED,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# --- TEAMS --- team,side,name,country,coach,coach_country,formation,squad_value,pitch_fill,pitch_number,gk_fill,stat_color,,,,
team,home,England,,Gareth Southgate,ENG,4-2-3-1,1145,#ECEEF1,#D40E1F,,#332F43,,,,
team,away,Denmark,,Kasper Hjulmand,DEN,3-4-3,267.5,#A10320,#FFFFFF,,#A10320,,,,
,,,,,,,,,,,,,,,
# --- PLAYERS -- player,side,role,number,name,kit_name,country,id,captain,goalkeeper,on,off,yellow,double yellow,red,value
player,home,start,1,Jordan Pickford,,ENG,19940307,,yes,,,,,,22
player,home,start,3,Luke Shaw,,ENG,19950712,,,,,,,,35
player,home,start,6,Harry Maguire,,ENG,19930305,,,,,49,,,45
player,home,start,5,John Stones,,ENG,19940528,,,,,,,,30
player,home,start,2,Kyle Walker,,ENG,19900528,,,,,,,,28
player,home,start,4,Declan Rice,,ENG,19990114,,,,95,,,,65
player,home,start,14,Kalvin Phillips,,ENG,19951202,,,,,,,,30
player,home,start,10,Raheem Sterling,,ENG,19941208,,,,,,,,90
player,home,start,19,Mason Mount,,ENG,19990110,,,,95,,,,75
player,home,start,25,Bukayo Saka,,ENG,20010905,,,,69,,,,65
player,home,start,9,Harry Kane,,ENG,19930728,yes,,,,,,,120
player,home,sub,7,Jack Grealish,,ENG,19950910,,,69,106,,,,65
player,home,sub,8,Jordan Henderson,,ENG,19900617,,,95,,,,,20
player,home,sub,20,Phil Foden,,ENG,20000528,,,95,,,,,80
player,home,sub,12,Kieran Trippier,,ENG,19900919,,,106,,,,,20
player,home,bench,11,Marcus Rashford,,ENG,19971031,,,,,,,,85
player,home,bench,13,Aaron Ramsdale,,ENG,19980514,,yes,,,,,,12
player,home,bench,15,Tyrone Mings,,ENG,19930313,,,,,,,,30
player,home,bench,16,Conor Coady,,ENG,19930225,,,,,,,,25
player,home,bench,17,Jadon Sancho,,ENG,20000325,,,,,,,,100
player,home,bench,23,Sam Johnstone,,ENG,19930325,,yes,,,,,,8
player,home,bench,24,Reece James,,ENG,19991208,,,,,,,,40
player,home,bench,26,Jude Bellingham,,ENG,20030629,,,,,,,,55
player,away,start,1,Kasper Schmeichel,,DEN,19861105,,yes,,,,,,6
player,away,start,3,Jannik Vestergaard,,DEN,19920803,,,,105,,,,18
player,away,start,4,Simon Kjær,,DEN,19890326,yes,,,,,,,10
player,away,start,6,Andreas Christensen,,DEN,19960410,,,,79,,,,30
player,away,start,5,Joakim Mæhle,,DEN,19970520,,,,,,,,13
player,away,start,23,Pierre-Emile Højbjerg,,DEN,19950805,,,,,,,,35
player,away,start,8,Thomas Delaney,,DEN,19910903,,,,88,,,,15
player,away,start,17,Jens Stryger Larsen,,DEN,19910221,,,,67,,,,4
player,away,start,14,Mikkel Damsgaard,,DEN,20000703,,,,67,,,,13
player,away,start,12,Kasper Dolberg,,DEN,19971006,,,,67,,,,20
player,away,start,9,Martin Braithwaite,,DEN,19910605,,,,,,,,9
player,away,sub,15,Christian Nørgaard,,DEN,19940310,,,67,,,,,3.5
player,away,sub,18,Daniel Wass,,DEN,19890531,,,67,,72,,,7
player,away,sub,20,Yussuf Poulsen,,DEN,19940615,,,67,,,,,21
player,away,sub,2,Joachim Andersen,,DEN,19960531,,,79,,,,,22
player,away,sub,24,Mathias Jensen,,DEN,19960101,,,88,,,,,8
player,away,sub,19,Jonas Wind,,DEN,19990207,,,105,,,,,5
player,away,bench,7,Robert Skov,,DEN,19960520,,,,,,,,10
player,away,bench,11,Andreas Skov Olsen,,DEN,19991229,,,,,,,,6.5
player,away,bench,13,Mathias Jørgensen,,DEN,19900423,,,,,,,,1.5
player,away,bench,16,Jonas Lössl,,DEN,19890201,,yes,,,,,,1.5
player,away,bench,21,Andreas Cornelius,,DEN,19930316,,,,,,,,6
player,away,bench,22,Frederik Rønnow,,DEN,19920804,,yes,,,,,,2.5
,,,,,,,,,,,,,,,
# --- GOALS --- goal,minute,side,scorer,type,assist,,,,,,,,,,
goal,30,away,Mikkel Damsgaard,goal,,,,,,,,,,,
goal,39,home,Simon Kjær,own goal,,,,,,,,,,,
goal,104,home,Harry Kane,goal,,,,,,,,,,,
,,,,,,,,,,,,,,,
# --- MATCH STATS --- stat,name,home,away,,,,,,,,,,,,
stat,Possession,58,42,,,,,,,,,,,,
stat,Expected goals (xG),2.08,0.24,,,,,,,,,,,,
stat,Shots,20,6,,,,,,,,,,,,
stat,Shots on target,10,3,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# --- WEATHER --- weather,field,value,,,,,,,,,,,,,
weather,condition,Clear,,,,,,,,,,,,,
weather,temp_c,17,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
