,,,,,,,,,,,,,,,
# --- MATCH --- meta,field,value,,,,,,,,,,,,,
meta,id,M027,,,,,,,,,,,,,
meta,status,played,,,,,,,,,,,,,
meta,competition,FIFA World Cup Qualification - UEFA,,,,,,,,,,,,,
meta,round,Group F - Matchday 5,,,,,,,,,,,,,
meta,date,2017-03-26,,,,,,,,,,,,,
meta,kickoff,17:00,,,,,,,,,,,,,
meta,venue,Wembley Stadium,,,,,,,,,,,,,
meta,city,London,,,,,,,,,,,,,
meta,country,ENG,,,,,,,,,,,,,
meta,neutral,no,,,,,,,,,,,,,
meta,attendance,77690,,,,,,,,,,,,,
meta,score,2-0,,,,,,,,,,,,,
meta,aggregate,,,,,,,,,,,,,,
meta,decision,,,,,,,,,,,,,,
meta,referee,Ruddy Buquet,,,,,,,,,,,,,
meta,referee_country,FRA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# --- TEAMS --- team,side,name,country,coach,coach_country,formation,squad_value,pitch_fill,pitch_number,gk_fill,stat_color,,,,
team,home,England,,Gareth Southgate,ENG,4-1-4-1,405,#CED1D6,#01408F,,#01408F,,,,
team,away,Lithuania,,Edgaras Jankauskas,LTU,4-2-3-1,7.3,#EEAF02,#000000,#58C46F,#EEAF02,,,,
,,,,,,,,,,,,,,,
# --- PLAYERS -- player,side,role,number,name,kit_name,country,id,captain,goalkeeper,on,off,yellow,double yellow,red,value
player,home,start,1,Joe Hart,,ENG,19870419,yes,yes,,,,,,15
player,home,start,3,Ryan Bertrand,,ENG,19890805,,,,,,,,15
player,home,start,5,Michael Keane,,ENG,19930111,,,,,,,,12
player,home,start,6,John Stones,,ENG,19940528,,,,,,,,35
player,home,start,2,Kyle Walker,,ENG,19900528,,,,,,,,20
player,home,start,4,Eric Dier,,ENG,19940115,,,,,,,,22
player,home,start,7,Raheem Sterling,,ENG,19941208,,,,60,,,,45
player,home,start,10,Dele Alli,,ENG,19960411,,,,,,,,40
player,home,start,8,Alex Oxlade-Chamberlain,,ENG,19930815,,,,,,,,20
player,home,start,11,Adam Lallana,,ENG,19880510,,,,,,,,22
player,home,start,9,Jermain Defoe,,ENG,19821007,,,,60,,,,6.5
player,home,sub,19,Jamie Vardy,,ENG,19870111,,,60,,,,,15
player,home,sub,20,Marcus Rashford,,ENG,19971031,,,60,,73,,,10
player,home,bench,12,Nathaniel Clyne,,ENG,19910405,,,,,,,,21
player,home,bench,13,Fraser Forster,,ENG,19880317,,yes,,,,,,15
player,home,bench,14,Luke Shaw,,ENG,19950712,,,,,,,,20
player,home,bench,15,Ben Gibson,,ENG,19930115,,,,,,,,6
player,home,bench,16,Jake Livermore,,ENG,19891114,,,,,,,,6
player,home,bench,17,James Ward-Prowse,,ENG,19941101,,,,,,,,13
player,home,bench,18,Ross Barkley,,ENG,19931205,,,,,,,,22
player,home,bench,21,Jesse Lingard,,ENG,19921215,,,,,,,,9
player,home,bench,22,Nathan Redmond,,ENG,19940306,,,,,,,,12
player,home,bench,23,Tom Heaton,,ENG,19860415,,yes,,,,,,3.5
player,away,start,16,Ernestas Šetkus,,LTU,19850525,,yes,,,46,,,0.7
player,away,start,3,Vaidas Slavickas,,LTU,19860226,,,,,,,,0.3
player,away,start,2,Linas Klimavičius,,LTU,19890410,,,,,,,,0.4
player,away,start,4,Tadas Kijanskas,,LTU,19850906,,,,,,,,0.3
player,away,start,8,Egidijus Vaitkūnas,,LTU,19880808,,,,,,,,0.4
player,away,start,10,Artūras Žulpa,,LTU,19900610,,,,,59,,,0.7
player,away,start,17,Mantas Kuklys,,LTU,19870610,,,,,,,,0.4
player,away,start,11,Arvydas Novikovas,,LTU,19901218,,,,54,,,,0.3
player,away,start,14,Vykintas Slivka,,LTU,19950429,,,,87,,,,0.2
player,away,start,22,Fiodor Černych,,LTU,19910521,yes,,,,,,,0.9
player,away,start,19,Nerijus Valskis,,LTU,19870804,,,,74,,,,0.2
player,away,sub,6,Mindaugas Grigaravičius,,LTU,19920715,,,54,,,,,0.1
player,away,sub,9,Deivydas Matulevičius,,LTU,19890408,,,74,,,,,0.4
player,away,sub,13,Simonas Paulius,,LTU,19910512,,,87,,,,,0.3
player,away,bench,1,Emilijus Zubas,,LTU,19900710,,yes,,,,,,0.4
player,away,bench,5,Tomas Mikuckis,,LTU,19830113,,,,,,,,0.1
player,away,bench,7,Ovidijus Verbickas,,LTU,19930704,,,,,,,,0.3
player,away,bench,12,Edvinas Gertmonas,,LTU,19960601,,yes,,,,,,0.3
player,away,bench,15,Arūnas Klimavičius,,LTU,19821005,,,,,,,,0.2
player,away,bench,18,Tautvydas Eliošius,,LTU,19911103,,,,,,,,0.1
player,away,bench,20,Valdemar Borovskij,,LTU,19840502,,,,,,,,0.1
player,away,bench,21,Vytautas Lukša,,LTU,19840814,,,,,,,,0.3
player,away,bench,23,Rolandas Baravykas,,LTU,19950823,,,,,,,,0.2
,,,,,,,,,,,,,,,
# --- GOALS --- goal,minute,side,scorer,type,assist,,,,,,,,,,
goal,22,home,Jermain Defoe,goal,Raheem Sterling,,,,,,,,,,
goal,66,home,Jamie Vardy,goal,Adam Lallana,,,,,,,,,,
,,,,,,,,,,,,,,,
# --- MATCH STATS --- stat,name,home,away,,,,,,,,,,,,
stat,Possession,72,28,,,,,,,,,,,,
stat,Expected goals (xG),,,,,,,,,,,,,,
stat,Shots,21,4,,,,,,,,,,,,
stat,Shots on target,9,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# --- WEATHER --- weather,field,value,,,,,,,,,,,,,
