,,,,,,,,,,,,,,,
# --- MATCH --- meta,field,value,,,,,,,,,,,,,
meta,id,M038,,,,,,,,,,,,,
meta,status,played,,,,,,,,,,,,,
meta,competition,Chinese Super League,,,,,,,,,,,,,
meta,round,Matchday 17,,,,,,,,,,,,,
meta,date,2018-08-11,,,,,,,,,,,,,
meta,kickoff,19:35,,,,,,,,,,,,,
meta,venue,Shanghai Stadium,,,,,,,,,,,,,
meta,city,Shanghai,,,,,,,,,,,,,
meta,country,CHN,,,,,,,,,,,,,
meta,neutral,no,,,,,,,,,,,,,
meta,attendance,25378,,,,,,,,,,,,,
meta,score,2-0,,,,,,,,,,,,,
meta,aggregate,,,,,,,,,,,,,,
meta,decision,,,,,,,,,,,,,,
meta,referee,Radek Příhoda,,,,,,,,,,,,,
meta,referee_country,CZE,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# --- TEAMS --- team,side,name,country,coach,coach_country,formation,squad_value,pitch_fill,pitch_number,gk_fill,stat_color,,,,
team,home,Shanghai SIPG,CHN,Vítor Pereira,POR,4-3-3,56,#B5031F,#FFFFFF,,#B5031F,,,,
team,away,Shanghai Greenland Shenhua,CHN,Wu Jingui,CHN,4-2-3-1,14.7,#1056B5,#FFFFFF,,#1056B5,,,,
,,,,,,,,,,,,,,,
# --- PLAYERS -- player,side,role,number,name,kit_name,country,id,captain,goalkeeper,on,off,yellow,double yellow,red,value
player,home,start,1,Yan Junling,Yan,CHN,,,yes,,,,,,0.8
player,home,start,21,Yu Hai,Yu,CHN,,,,,,,,,0.4
player,home,start,28,He Guan,He,CHN,,,,,80,34,,,0.5
player,home,start,5,Shi Ke,Shi,CHN,,,,,,,,,0.6
player,home,start,4,Wang Shenchao,Wang,CHN,,,,,,,,,0.6
player,home,start,8,Oscar,,BRA,,,,,,,,,24
player,home,start,6,Cai Huikang,Cai,CHN,,,,,85,81,,,0.6
player,home,start,10,Hulk,,BRA,,yes,,,,,,,21
player,home,start,24,Lei Wenjie,Lei,CHN,,,,,32,,,,0.1
player,home,start,9,Elkeson,,BRA,,,,,,,,,4.5
player,home,start,7,Wu Lei,Wu,CHN,,,,,,,,,2
player,home,sub,11,Lü Wenjun,,CHN,,,,32,,,,,0.4
player,home,sub,23,Fu Huan,,CHN,,,,80,,,,,0.3
player,home,sub,14,Lin Chuangyi,,CHN,,,,85,,,,,0.1
player,home,bench,2,Zhang Wei,,CHN,,,,,,,,,0.1
player,home,bench,14,Li Shenglong,,CHN,,,,,,,,,0.1
player,home,bench,18,Zhang Yi,,CHN,,,,,,,,,0.1
player,home,bench,22,Sun Le,,CHN,,,yes,,,,,,0.1
player,away,start,27,Li Shuai,Li,CHN,,,yes,,,,,,0.2
player,away,start,23,Bai Jiajun,Bai,CHN,,,,,,,,,0.2
player,away,start,5,Zhu Chenjie,Zhu,CHN,,,,,,,,,
player,away,start,32,Aidi Fulangxisi,Aidi,CHN,,,,,,76,,,0.2
player,away,start,24,Rong Hao,Rong,CHN,,,,,,,,,0.2
player,away,start,6,Li Peng,Li,CHN,,,,,60,1,,,0.2
player,away,start,10,Giovanni Moreno,,COL,,yes,,,77,48,,,6.5
player,away,start,28,Cao Yunding,Cao,CHN,,,,,,,,,0.5
player,away,start,11,Óscar Romero,,PAR,,,,,,,,,4
player,away,start,36,Liu Ruofan,Liu,CHN,,,,,37,,,,0.3
player,away,start,9,Demba Ba,,SEN,,,,,,,,,2
player,away,sub,3,Li Jianbin,,CHN,,,,37,,45,,,0.1
player,away,sub,8,Zhang Lu,,CHN,,,,60,,,,,0.1
player,away,sub,29,Zhou Junchen,,CHN,,,,77,,,,,
player,away,bench,15,Zhu Jianrong,,CHN,,,,,,,,,0.1
player,away,bench,16,Li Yunqiu,,CHN,,,,,,,,,0.1
player,away,bench,19,Li Xiaoming,,CHN,,,,,,,,,0.2
player,away,bench,22,Qiu Shengjiong,,CHN,,,yes,,,,,,0.1
,,,,,,,,,,,,,,,
# --- GOALS --- goal,minute,side,scorer,type,assist,,,,,,,,,,
goal,52,home,Wu Lei,goal,Oscar,,,,,,,,,,
goal,74,home,Hulk,penalty,,,,,,,,,,,
,,,,,,,,,,,,,,,
# --- MATCH STATS --- stat,name,home,away,,,,,,,,,,,,
stat,Possession,57,43,,,,,,,,,,,,
stat,Expected goals (xG),,,,,,,,,,,,,,
stat,Shots,13,6,,,,,,,,,,,,
stat,Shots on target,8,5,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# --- WEATHER --- weather,field,value,,,,,,,,,,,,,
weather,condition,Overcast,,,,,,,,,,,,,
weather,temp_c,29,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# --- MATCHDAY --- personal,field,value,,,,,,,,,,,,,
personal,ticket_price,675,,,,,,,,,,,,,
personal,ticket_currency,CNY,,,,,,,,,,,,,
personal,ticket_price_usd,99,,,,,,,,,,,,,
personal,section,Section 32,,,,,,,,,,,,,
personal,row,16,,,,,,,,,,,,,
personal,seat,19,,,,,,,,,,,,,
personal,seating,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# --- PHOTOS --- photo,file,caption,,,,,,,,,,,,,
photo,M038_1.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# --- CHAMPIONS --- champion,field,value,,,,,,,,,,,,,
champion,team,,,,,,,,,,,,,,
champion,side,,,,,,,,,,,,,,
champion,title,,,,,,,,,,,,,,
champion,season,,,,,,,,,,,,,,
champion,note,,,,,,,,,,,,,,
