,,,,,,,,,,,,,,,
# --- MATCH --- meta,field,value,,,,,,,,,,,,,
meta,id,M018,,,,,,,,,,,,,
meta,status,played,,,,,,,,,,,,,
meta,competition,EAFF E-1 Football Championship Qualification,,,,,,,,,,,,,
meta,round,Second Round - Matchday 1,,,,,,,,,,,,,
meta,date,2016-11-06,,,,,,,,,,,,,
meta,kickoff,15:00,,,,,,,,,,,,,
meta,venue,Mong Kok Stadium,,,,,,,,,,,,,
meta,city,Hong Kong,,,,,,,,,,,,,
meta,country,HKG,,,,,,,,,,,,,
meta,neutral,no,,,,,,,,,,,,,
meta,attendance,3299,,,,,,,,,,,,,
meta,score,2-0,,,,,,,,,,,,,
meta,aggregate,,,,,,,,,,,,,,
meta,decision,,,,,,,,,,,,,,
meta,referee,Pranjal Banerjee,,,,,,,,,,,,,
meta,referee_country,IND,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# --- TEAMS --- team,side,name,country,coach,coach_country,formation,squad_value,pitch_fill,pitch_number,gk_fill,stat_color,,,,
team,home,Korea DPR,,Jørn Andersen,NOR,3-4-2-1,1,#8B070D,#FFFFFF,,#8B070D,,,,
team,away,Chinese Taipei,,Kazuo Kuroda,JPN,4-2-3-1,0.3,#0541D3,#FFFFFF,,#0541D3,,,,
,,,,,,,,,,,,,,,
# --- PLAYERS -- player,side,role,number,name,kit_name,country,id,captain,goalkeeper,on,off,yellow,double yellow,red,value
player,home,start,1,Ri Myong-guk,Ri,PRK,19860909,yes,yes,,,,,,0.4
player,home,start,18,Ri Yong-chol,Ri,PRK,19910118,,,,,,,,
player,home,start,3,Jang Kuk-chol,Jang,PRK,19940216,,,,,,,,0.1
player,home,start,6,Kang Kuk-chol,Kang,PRK,19900701,,,,,,,,
player,home,start,17,Myong Cha-hyon,Myong,PRK,19900320,,,,64,,,,
player,home,start,4,Pak Myong-song,Pak,PRK,19940331,,,,68,,,,
player,home,start,8,Kim Kuk-bom,Kim,PRK,19950219,,,,77,61,,,
player,home,start,19,So Hyon-uk,So,PRK,19920417,,,,,,,,0.1
player,home,start,9,Pak Song-chol,Pak,PRK,19910320,,,,,,,,0.1
player,home,start,11,Jong Il-gwan,Jong,PRK,19921030,,,,,,,,0.1
player,home,start,23,Kim Yu-song,Kim,PRK,19950124,,,,,,,,
player,home,sub,26,Kim Ju-song,,PRK,19931015,,,64,,,,,
player,home,sub,2,Sim Hyon-jin,,PRK,19910101,,,68,,,,,0.1
player,home,sub,12,So Kyong-jin,,PRK,19940108,,,77,,,,,
player,home,bench,10,Ju Jong-chol,,PRK,19941020,,,,,,,,
player,home,bench,15,Kim Chol-bum,,PRK,19940716,,,,,,,,
player,home,bench,20,Song Kum-il,,PRK,19940510,,,,,,,,
player,home,bench,22,Ri Kwang-il,,PRK,19880413,,yes,,,,,,0.1
player,home,bench,27,Choe Ju-song,,PRK,19960127,,,,,,,,
player,away,start,18,Chiu Yu-hung,Chiu,TPE,19940831,,yes,,,,,,
player,away,start,5,Hung Tzu-kuei,Hung,TPE,19930601,,,,,,,,
player,away,start,3,Chen Ting-yang,Chen,TPE,19920928,,,,,,,,
player,away,start,16,Wang Ruei,Wang,TPE,19930810,,,,,,,,
player,away,start,15,Chen Yi-wei,Chen,TPE,19870327,yes,,,,83,,,
player,away,start,12,Wen Chih-hao,Wen,TPE,19930325,,,,,,,,0.1
player,away,start,6,Yen Ho-shen,Yen,TPE,19901231,,,,78,,,,
player,away,start,14,Chen Chao-an,Chen,TPE,19950622,,,,71,,,,0.1
player,away,start,17,Chen Po-liang,Chen,TPE,19880811,,,,,61,,,0.1
player,away,start,9,Chen Hao-wei,Chen,TPE,19920430,,,,89,,,,0.1
player,away,start,11,Wu Chun-ching,Wu,TPE,19881218,,,,,,,,
player,away,sub,19,Lee Hsiang-wei,,TPE,19960415,,,71,,,,,
player,away,sub,8,Lin Chien-hsun,,TPE,19930110,,,78,,,,,
player,away,sub,7,Chen Chia-chun,,TPE,19911013,,,89,,,,,
player,away,bench,1,Pan Wen-chieh,,TPE,19920629,,yes,,,,,,
player,away,bench,2,Huang Wei-min,,TPE,19880816,,,,,,,,
player,away,bench,4,Lee Jian-liang,,TPE,19910810,,,,,,,,
player,away,bench,13,Li Kai-jie,,TPE,19960722,,,,,,,,
player,away,bench,22,Tsai Shuo-che,,TPE,19960114,,yes,,,,,,
player,away,bench,23,Liu Sheng-yi,,TPE,19951121,,,,,,,,
,,,,,,,,,,,,,,,
# --- GOALS --- goal,minute,side,scorer,type,assist,,,,,,,,,,
goal,16,home,Jong Il-gwan,goal,Pak Song-chol,,,,,,,,,,
goal,87,home,Sim Hyon-jin,goal,,,,,,,,,,,
,,,,,,,,,,,,,,,
# --- MATCH STATS --- stat,name,home,away,,,,,,,,,,,,
stat,Possession,,,,,,,,,,,,,,
stat,Expected goals (xG),,,,,,,,,,,,,,
stat,Shots,,,,,,,,,,,,,,
stat,Shots on target,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# --- WEATHER --- weather,field,value,,,,,,,,,,,,,
weather,condition,Clear,,,,,,,,,,,,,
weather,temp_c,25,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# --- MATCHDAY --- personal,field,value,,,,,,,,,,,,,
personal,ticket_price,15,,,,,,,,,,,,,
personal,ticket_currency,HKD,,,,,,,,,,,,,
personal,ticket_price_usd,2,,,,,,,,,,,,,
personal,section,Section 4,,,,,,,,,,,,,
personal,row,,,,,,,,,,,,,,
personal,seat,,,,,,,,,,,,,,
personal,seating,,,,,,,,,,,,,,
